2016-10-24 15:24:27	0dbc0bcfc3366ae7533a75620c6fae18.580da91bbf50d2.56387646	133.127.254.201	h201.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A24%3A27%3A551%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10
2016-10-24 15:24:44	0dbc0bcfc3366ae7533a75620c6fae18.580da91bbf50d2.56387646	133.127.254.201	h201.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001302%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-10-24%2015%3A24%3A44%3A420%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10
2016-10-24 15:26:01	0dbc0bcfc3366ae7533a75620c6fae18.580da91bbf50d2.56387646	133.127.254.201	h201.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A26%3A01%3A006%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10
2016-10-24 15:26:39	0dbc0bcfc3366ae7533a75620c6fae18.580da91bbf50d2.56387646	133.127.254.201	h201.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A26%3A39%3A816%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10
2016-10-24 15:27:32	0dbc0bcfc3366ae7533a75620c6fae18.580da91bbf50d2.56387646	133.127.254.201	h201.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E1001302%22%2C%22VODrelation%22%3A%22culture%22%2C%22VOD%22%3A%22V2007258%2CV2007255%2CV2007256%2CV2007243%2CV205324%22%2C%22time%22%3A%222016-10-24%2015%3A27%3A32%3A114%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.4.10 (KHTML, like Gecko) Version/8.0.4 Safari/600.4.10
2016-10-24 15:28:45	fa134ead9480f871cf8f88856a2f81b2.5805d79c9ff255.96333348	1.72.3.181	sp1-72-3-181.msc.spmode.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A28%3A45%3A879%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-24 15:29:05	fa134ead9480f871cf8f88856a2f81b2.5805d79c9ff255.96333348	1.72.3.181	sp1-72-3-181.msc.spmode.ne.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A29%3A05%3A247%22%7D/x.js	Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/14A456 Safari/602.1
2016-10-24 15:40:58	6e53079b31521cfecc9f9247af8f6f05.580dacfa91ad73.61551871	133.127.254.204	h204.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A40%3A58%3A351%22%7D/x.js	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 15:46:42	ba99042ddf1ce92babd6fbeaf08f26bd.580dae5264f5c8.98383117	133.127.254.202	h202.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22AfterFiver%22%2C%22event%22%3A%22mainpageShow%22%2C%22time%22%3A%222016-10-24%2015%3A46%3A42%3A301%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
2016-10-24 15:46:45	ba99042ddf1ce92babd6fbeaf08f26bd.580dae5264f5c8.98383117	133.127.254.202	h202.n254.nhk.or.jp	/bc/iswcapp/%7B%22tab%22%3A%22WatchTV%22%2C%22event%22%3A%22mainpageShow%22%2C%22program%22%3A%22E2009256%22%2C%22VODrelation%22%3A%22tradition%22%2C%22VOD%22%3A%22V2007248%2CV2007163%2CV2007250%2CV2007253%2CV2007245%2CV2007229%2CV2007260%2CV2007263%2CV2007262%2CV2007265%2CV2007264%22%2C%22time%22%3A%222016-10-24%2015%3A46%3A45%3A437%22%7D/x.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.143 Safari/537.36
