2016-10-25 04:11:03	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A03%3A594%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:04	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E5%90%8A%E3%82%8A%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A03%3A927%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:05	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E5%90%8A%E3%82%8A%E5%90%8A%E3%82%8A%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A05%3A050%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:07	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A07%3A554%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:08	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E5%90%8A%E3%82%8A%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A07%3A990%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:10	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A10%3A193%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:11	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E3%81%AB%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A11%3A200%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:12	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E3%81%AB%E5%90%8A%E3%81%A3%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A12%3A074%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:13	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E3%81%AB%E5%90%8A%E3%81%A3%E3%82%90%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A12%3A887%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:14	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E3%81%AB%E5%90%8A%E3%81%A3%E3%82%90%E3%81%A6%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A13%3A741%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
2016-10-25 04:11:15	71221da74dc29fb293962a0c38aef5e3.5805fb7eaffff5.38488026	91.105.20.73	91.105.20.73	/bc/iswcapp/%7B%22tab%22%3A%22JapaneseCapture%22%2C%22event%22%3A%22select%22%2C%22string%22%3A%22%E3%81%95%E3%81%AB%E5%90%8A%E3%81%A3%E3%82%90%E3%81%A6%5C%5C%22%2C%22time%22%3A%222016-10-24%2022%3A11%3A15%3A730%22%7D/x.js	Mozilla/5.0 (Linux; Android 5.1.1; A0001 Build/LMY48B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.124 Mobile Safari/537.36
